File Name,File Key,Depth,qc,fs,Measure Vs,Qc,Fs,u,Subset_Region,Subset_Geology,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,A07H,A07P,A07T,R09,H06,MC15,MC18
SCPT_14526_Raw03_result.csv,14526,0.02,2.717,0.0017,245.5,2.717,0.0017,0.0238,2,3,57.81610846,70.38482769,181.0747757,33.94222579,22.20998529,20.23672967,43.7412276,1.804813731,1.446029517,1.249319223,0.304386876,1.978637109,2.402754971,2.495797694,1.725005866
SCPT_14526_Raw03_result.csv,14526,0.04,3.088,0.003,245.5,3.088,0.003,-0.0082,2,3,64.79472268,78.88053196,203.4772623,42.10283251,27.93840925,26.20022945,56.17334789,1.762472924,1.332072787,1.135362493,0.187742682,1.763181928,2.17329453,2.237528779,1.47485454
SCPT_14526_Raw03_result.csv,14526,0.06,3.088,0.0045,245.5,3.088,0.0045,-0.0065,2,3,69.17117205,84.20838337,211.8201129,47.69068054,32.73388366,30.33011376,65.61048687,1.791776977,1.26671276,1.070002466,0.147559557,1.638560945,2.014886208,2.091155875,1.319561403
SCPT_14526_Raw03_result.csv,14526,0.08,3.141,0.0058,245.5,3.141,0.0058,-0.0056,2,3,72.81852391,88.6486378,219.3663688,52.45389059,37.05897815,33.63714642,72.93995046,1.809479475,1.215326575,1.018616281,0.112553698,1.543362438,1.8907863,1.987665943,1.213660441
SCPT_14526_Raw03_result.csv,14526,0.1,3.052,0.0079,245.5,3.052,0.0079,-0.0053,2,3,76.12664554,92.6759163,221.8181164,56.85066234,42.26124667,36.56798615,80.32249733,1.86611713,1.170898605,0.974188311,0.101439197,1.462869076,1.759426435,1.904123785,1.1172472
SCPT_14526_Raw03_result.csv,14526,0.12,2.976,0.0094,245.5,2.976,0.0094,-0.0049,2,3,78.65004451,95.74788028,223.6945656,60.4712113,46.55063982,38.88686772,86.02092638,1.907399862,1.138288752,0.941578458,0.093015372,1.401129542,1.662756199,1.842640344,1.048706351
SCPT_14526_Raw03_result.csv,14526,0.14,2.861,0.0137,245.5,2.861,0.0137,-0.004,2,3,82.34312865,100.2438088,223.745059,65.44367094,54.83063814,41.64163715,93.90355937,1.997993487,1.092401935,0.895691641,0.092789673,1.32210716,1.499047819,1.774196388,0.961028656
SCPT_14526_Raw03_result.csv,14526,0.16,2.708,0.0157,245.5,2.708,0.0157,-0.004,2,3,84.1536281,102.4478951,222.0107485,68.5311068,59.8440693,43.36349283,98.82587447,2.057818852,1.070652913,0.873942619,0.10057115,1.276009191,1.411554613,1.733679039,0.909937489
SCPT_14526_Raw03_result.csv,14526,0.18,2.567,0.0168,245.5,2.567,0.0168,-0.0043,2,3,85.30783444,103.8530158,220.0697867,70.87797089,63.53405592,44.71379948,102.6747508,2.103801127,1.057030651,0.860320357,0.109352239,1.242337269,1.351720871,1.70301478,0.871730715
SCPT_14526_Raw03_result.csv,14526,0.2,2.523,0.0168,245.5,2.523,0.0168,-0.0045,2,3,86.22529321,104.9699222,220.9116001,72.72300835,65.39594866,45.9283577,105.4349845,2.114138711,1.046333388,0.849623094,0.105534325,1.216639129,1.322836638,1.676214206,0.845202445
